Date,Open,High,Low,Close,Adj Close,Volume
2010-02-26,,,,,,
2010-03-01,0.04024,0.04024,0.03921,0.03921,0.03921,0.0
2010-03-02,0.03972,0.03972,0.03921,0.03921,0.03921,256846.0
2010-03-03,0.03921,0.03921,0.03869,0.03869,0.03869,121154.0
2010-03-04,0.03817,0.03817,0.03817,0.03817,0.03817,92073.0
2010-03-05,0.03817,0.03817,0.03817,0.03817,0.03817,191262.0
2010-03-08,,,,,,
2010-03-09,0.03869,0.03869,0.03663,0.03663,0.03663,0.0
2010-03-10,0.03869,0.03869,0.03869,0.03869,0.03869,232456.0
2010-03-11,0.03766,0.03869,0.03766,0.03869,0.03869,96923.0
2010-03-12,0.03714,0.03766,0.03714,0.03714,0.03714,63000.0
2010-03-15,0.03714,0.03869,0.03714,0.03869,0.03869,271158.0
2010-03-16,0.03869,0.03869,0.03869,0.03869,0.03869,237202.0
2010-03-17,0.03869,0.04282,0.03869,0.04282,0.04282,302322.0
2010-03-18,0.04591,0.04643,0.04591,0.04643,0.04643,339231.0
2010-03-19,0.05159,0.05417,0.05159,0.05159,0.05159,843950.0
2010-03-22,0.05417,0.05675,0.05159,0.05417,0.05417,1312338.0
2010-03-23,0.05675,0.05675,0.05417,0.05417,0.05417,171094.0
2010-03-24,0.05159,0.05159,0.05159,0.05159,0.05159,199661.0
2010-03-25,0.34977,0.34977,0.2998,0.32478,0.32478,6004.0
2010-03-26,0.05675,0.05675,0.05159,0.05159,0.05159,0.0
2010-03-29,0.05675,0.05675,0.05675,0.05675,0.05675,29077.0
2010-03-30,0.05675,0.05675,0.05159,0.05159,0.05159,0.0
2010-03-31,0.05159,0.05159,0.05159,0.05159,0.05159,48462.0
2010-04-01,0.05675,0.05675,0.05675,0.05675,0.05675,19385.0
2010-04-05,,,,,,
2010-04-06,0.05417,0.05675,0.05159,0.05675,0.05675,60209.0
2010-04-07,0.05675,0.05675,0.05159,0.05159,0.05159,0.0
2010-04-08,0.05159,0.05675,0.05159,0.05675,0.05675,445846.0
2010-04-09,0.05675,0.05675,0.05675,0.05675,0.05675,140798.0
2010-04-12,0.05675,0.05675,0.04488,0.04488,0.04488,282885.0
2010-04-13,0.05159,0.05159,0.04643,0.04643,0.04643,0.0
2010-04-14,0.04643,0.05159,0.04643,0.04643,0.04643,322203.0
2010-04-15,0.05159,0.05159,0.04901,0.04901,0.04901,144392.0
2010-04-16,0.04901,0.04901,0.04643,0.04643,0.04643,0.0
2010-04-19,0.04643,0.04643,0.04643,0.04643,0.04643,12205.0
2010-04-20,0.0454,0.0454,0.0454,0.0454,0.0454,104103.0
2010-04-21,0.04643,0.04643,0.0454,0.0454,0.0454,0.0
2010-04-22,0.0454,0.04643,0.0454,0.04643,0.04643,170152.0
2010-04-23,0.04643,0.04643,0.0454,0.0454,0.0454,0.0
2010-04-26,0.32478,0.34977,0.2998,0.2998,0.2998,32942.0
2010-04-27,0.0454,0.04643,0.0454,0.04643,0.04643,62486.0
2010-04-28,0.04643,0.04643,0.04643,0.04643,0.04643,34460.0
2010-04-29,0.04901,0.04901,0.04643,0.04643,0.04643,0.0
2010-04-30,0.04901,0.04901,0.04643,0.04643,0.04643,0.0
2010-05-03,0.04643,0.04643,0.0454,0.0454,0.0454,96923.0
2010-05-04,0.04591,0.04849,0.04591,0.04849,0.04849,22002.0
2010-05-05,0.04488,0.04488,0.03869,0.03869,0.03869,0.0
2010-05-06,0.04385,0.04385,0.03869,0.03869,0.03869,0.0
2010-05-07,0.03714,0.03817,0.03663,0.03817,0.03817,577239.0
2010-05-10,0.03766,0.03817,0.03766,0.03817,0.03817,116290.0
2010-05-11,0.04643,0.04643,0.04643,0.04643,0.04643,135710.0
2010-05-12,0.04643,0.04643,0.04643,0.04643,0.04643,42258.0
2010-05-13,0.04643,0.04643,0.04488,0.04591,0.04591,85663.0
2010-05-14,0.04643,0.04643,0.04643,0.04643,0.04643,42448.0
2010-05-17,0.0423,0.0423,0.0423,0.0423,0.0423,50400.0
2010-05-18,0.04591,0.04591,0.04591,0.04591,0.04591,66877.0
2010-05-19,0.0423,0.0423,0.03611,0.03611,0.03611,60092.0
2010-05-20,0.03611,0.03611,0.03405,0.03405,0.03405,40708.0
2010-05-21,0.03508,0.03611,0.03353,0.03611,0.03611,275979.0
2010-05-24,0.03611,0.03611,0.03611,0.03611,0.03611,1479.0
2010-05-25,0.04075,0.04075,0.03405,0.03405,0.03405,0.0
2010-05-26,0.03405,0.03405,0.03353,0.03353,0.03353,67846.0
2010-05-27,0.04075,0.04075,0.03353,0.03353,0.03353,77538.0
2010-05-28,0.03869,0.03869,0.03405,0.03405,0.03405,0.0
